date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:19:03	1883/1883	U-----	200	untouched ('OK')	text/plain	etag:W/%224a00790abae02c94091abc981d19439d%22	http://www.gibdist.net/robots.txt		(from )
20:19:04	39614/39614	U--M--	200	updated ('OK')	text/html	etag:W/%22e9fb7179bb94e254d8d8bb6c045a5361%22	http://www.gibdist.net/	C:/Users/Snowman/Desktop/Webpage/New%20folder/Gibdist/www.gibdist.net/index.html	(from )
20:19:04	5430/5430	U-----	200	untouched ('')	image/x-icon	etag:%2230d39598d04cd21:0%22	http://www.gibdist.net/uploaded/favicon.ico	C:/Users/Snowman/Desktop/Webpage/New%20folder/Gibdist/www.gibdist.net/uploaded/favicon.ico	(from http://www.gibdist.net/)
20:19:04	1472/1472	U--MC-	200	updated ('OK')	text/css	date:Fri,%2010%20Mar%202017%2001:19:06%20GMT	http://www.gibdist.net/styles.cfm?b	C:/Users/Snowman/Desktop/Webpage/New%20folder/Gibdist/www.gibdist.net/styles92eb.css	(from http://www.gibdist.net/)
20:19:05	380266/380266	U--M-Z	200	updated ('OK')	text/css	date:Wed,%2022%20Feb%202017%2001:00:45%20GMT	http://static.finalsite.net/assets/application-7ed355b7f8aee7dbec9d14e2e0e4a05ce3306f3ac7534a8133fd223a8d726a6c.css	C:/Users/Snowman/Desktop/Webpage/New%20folder/Gibdist/static.finalsite.net/assets/application-7ed355b7f8aee7dbec9d14e2e0e4a05ce3306f3ac7534a8133fd223a8d726a6c.css	(from http://www.gibdist.net/)
20:19:05	170555/170555	U-----	200	untouched ('OK')	text/css	etag:%22a47a996083d21:0%22	http://www.gibdist.net/uploaded/themes/default/css/main.css?1480340035	C:/Users/Snowman/Desktop/Webpage/New%20folder/Gibdist/www.gibdist.net/uploaded/themes/default/css/main42fc.css	(from http://www.gibdist.net/)
20:19:06	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Fri,%2010%20Mar%202017%2001:19:07%20GMT	http://www.googletagmanager.com/gtm.js?id=	C:/Users/Snowman/Desktop/Webpage/New%20folder/Gibdist/www.googletagmanager.com/gtm.35445.delayed	(from http://www.gibdist.net/)
20:19:06	88/88	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2010%20Mar%202017%2001:19:08%20GMT	http://www.gibdist.net/fs/pages/2	C:/Users/Snowman/Desktop/Webpage/New%20folder/Gibdist/www.gibdist.net/fs/pages/2.4.delayed	(from http://www.gibdist.net/)
20:19:07	20702/20702	U--M-Z	200	updated ('OK')	text/javascript	date:Fri,%2010%20Mar%202017%2001:19:08%20GMT	https://use.typekit.net/lkr7hqy.js	C:/Users/Snowman/Desktop/Webpage/New%20folder/Gibdist/use.typekit.net/lkr7hqy.js	(from http://www.gibdist.net/)
20:19:07	112/112	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2010%20Mar%202017%2001:19:09%20GMT	http://www.gibdist.net/fs/pages/402	C:/Users/Snowman/Desktop/Webpage/New%20folder/Gibdist/www.gibdist.net/fs/pages/402.5.delayed	(from http://www.gibdist.net/)
20:19:07	34383/34383	U--M--	200	updated ('OK')	text/html	etag:W/%22cd616a24d3fb82f54ccc4f1b6c66b0f5%22	http://www.gibdist.net/about	C:/Users/Snowman/Desktop/Webpage/New%20folder/Gibdist/www.gibdist.net/about.html	(from http://www.gibdist.net/)
20:19:08	31771/31771	U--M--	200	updated ('OK')	text/html	etag:W/%2209b8a34db36d9bede03a0a0792ebc3b6%22	http://www.gibdist.net/academics	C:/Users/Snowman/Desktop/Webpage/New%20folder/Gibdist/www.gibdist.net/academics.html	(from http://www.gibdist.net/)
20:19:10	31220/31220	U--M--	200	updated ('OK')	text/html	etag:W/%22f15ff9a8eb53f742d44d69f64d0c6678%22	http://www.gibdist.net/parents	C:/Users/Snowman/Desktop/Webpage/New%20folder/Gibdist/www.gibdist.net/parents.html	(from http://www.gibdist.net/)
20:19:12	126305/126305	U--M-Z	200	updated ('OK')	application/javascript	date:Mon,%2020%20Feb%202017%2021:21:17%20GMT	http://static.finalsite.net/assets/in_layout_head-17790e84d6a6c54aba7c668213c3a1a11c0783f84fa6708487a7958e349545fb.js	C:/Users/Snowman/Desktop/Webpage/New%20folder/Gibdist/static.finalsite.net/assets/in_layout_head-17790e84d6a6c54aba7c668213c3a1a11c0783f84fa6708487a7958e349545fb.js	(from http://www.gibdist.net/)
20:19:13	18072/18072	U--M--	200	updated ('OK')	text/html	etag:W/%22d78f629853fbdfd2185a740942a40716%22	http://www.gibdist.net/quicklinks	C:/Users/Snowman/Desktop/Webpage/New%20folder/Gibdist/www.gibdist.net/quicklinks.html	(from http://www.gibdist.net/)
20:19:13	30885/30885	U--MC-	200	updated ('OK')	text/html	etag:W/%22b426982c33dbfe0e2932216cccc4ecc9%22	http://www.gibdist.net/students	C:/Users/Snowman/Desktop/Webpage/New%20folder/Gibdist/www.gibdist.net/students.html	(from http://www.gibdist.net/)
20:19:14	7017/7017	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2010%20Mar%202017%2001:19:16%20GMT	http://static.finalsite.net/assets/images/ui-bg_flat_100_ffffff_40x100.png	C:/Users/Snowman/Desktop/Webpage/New%20folder/Gibdist/static.finalsite.net/assets/images/ui-bg_flat_100_ffffff_40x100.7.delayed	(from http://static.finalsite.net/assets/application-7ed355b7f8aee7dbec9d14e2e0e4a05ce3306f3ac7534a8133fd223a8d726a6c.css)
20:19:15	32304/32304	U--MC-	200	updated ('OK')	text/html	etag:W/%22409f63265e342fb3088e241c48be58e8%22	http://www.gibdist.net/athletics	C:/Users/Snowman/Desktop/Webpage/New%20folder/Gibdist/www.gibdist.net/athletics.html	(from http://www.gibdist.net/)
20:19:15	61548/61548	U--M--	200	updated ('OK')	text/html	etag:W/%229418b72728d0da98b9f88ddb5886a4f6%22	http://www.gibdist.net/calendar	C:/Users/Snowman/Desktop/Webpage/New%20folder/Gibdist/www.gibdist.net/calendar.html	(from http://www.gibdist.net/)
20:19:15	31662/31662	U--MC-	200	updated ('OK')	text/html	etag:W/%2281fd368757e54933cbfc1d9151e880a4%22	http://www.gibdist.net/arts	C:/Users/Snowman/Desktop/Webpage/New%20folder/Gibdist/www.gibdist.net/arts.html	(from http://www.gibdist.net/)
20:19:19	34841/34841	U--MC-	200	updated ('OK')	text/html	etag:W/%221121502bfbe3cda2e3bbc4af014e6681%22	http://www.gibdist.net/our-schools	C:/Users/Snowman/Desktop/Webpage/New%20folder/Gibdist/www.gibdist.net/our-schools.html	(from http://www.gibdist.net/)
20:19:20	48198/48198	U--MC-	200	updated ('OK')	text/html	etag:W/%22a687be95f8a49bbcd1513d5b79c97692%22	http://www.gibdist.net/carlson-high	C:/Users/Snowman/Desktop/Webpage/New%20folder/Gibdist/www.gibdist.net/carlson-high.html	(from http://www.gibdist.net/)
20:19:23	38820/38820	U--MC-	200	updated ('OK')	text/html	etag:W/%22568833e247f41867a7823479107d60c7%22	http://www.gibdist.net/hunter-elementary	C:/Users/Snowman/Desktop/Webpage/New%20folder/Gibdist/www.gibdist.net/hunter-elementary.html	(from http://www.gibdist.net/)
20:19:23	43937/43937	U--MC-	200	updated ('OK')	text/html	etag:W/%2296e80a3a4fba6ce7d9ed0ffde5e3d44d%22	http://www.gibdist.net/parsons-elementary	C:/Users/Snowman/Desktop/Webpage/New%20folder/Gibdist/www.gibdist.net/parsons-elementary.html	(from http://www.gibdist.net/)
20:19:24	35893/35893	U-----	200	untouched ('')	image/jpeg	etag:%2207bab6a1477d21:0%22	http://www.gibdist.net/uploaded/photos/Menu_Pics/Grad2016-288x288.jpg	C:/Users/Snowman/Desktop/Webpage/New%20folder/Gibdist/www.gibdist.net/uploaded/photos/Menu_Pics/Grad2016-288x288.jpg	(from http://www.gibdist.net/)
20:19:24	42724/42724	U--MC-	200	updated ('OK')	text/html	etag:W/%22a757cc720146590f002299dd6a62d295%22	http://www.gibdist.net/weiss-elementary	C:/Users/Snowman/Desktop/Webpage/New%20folder/Gibdist/www.gibdist.net/weiss-elementary.html	(from http://www.gibdist.net/)
20:19:25	40274/40274	U--MC-	200	updated ('OK')	text/html	etag:W/%2297bb3a67b3fe2a8274a1e59d2dafa5d8%22	http://www.gibdist.net/downriver-high	C:/Users/Snowman/Desktop/Webpage/New%20folder/Gibdist/www.gibdist.net/downriver-high.html	(from http://www.gibdist.net/)
20:19:25	0/-1	---M--	302	error ('')			http://www.gibdist.net/fs/pages/2	C:/Users/Snowman/Desktop/Webpage/New%20folder/Gibdist/www.gibdist.net/fs/pages/2.8.delayed	(from http://www.gibdist.net/about)
